TF
AT2G36270
AT2G37590
AT2G38340
AT2G38470
AT2G39250
AT2G40260
AT2G40620
AT2G40740
AT2G40750
AT2G41690
AT2G42200
AT2G42280
AT2G42430
AT2G43000
AT2G44840
AT2G44940
AT2G45410
AT2G45420
AT2G45480
AT2G45680
AT2G46270
AT2G46590
AT2G46680
AT2G46770
AT2G46830
AT2G47070
AT3G01220
AT3G01530
AT3G01970
AT3G02940
AT3G03200
AT3G04030 
AT3G04060
AT3G04070
AT3G06490
AT3G08500
AT3G09600
AT3G09735
AT3G10030
AT3G10113
AT3G10480
AT3G10500
AT3G10580
AT3G10800
AT3G11280
AT3G11440
AT3G12130
AT3G12250
AT3G12720
AT3G12730
AT3G13810 
AT3G14180
AT3G15170
AT3G15210
AT3G15270
AT3G15500
AT3G16280
AT3G16870
AT3G17609
AT3G17730
AT3G18400
AT3G18990
AT3G19290
AT3G20310 
AT3G20770
AT3G21890
AT3G22760
AT3G22830
AT3G23220
AT3G24050
AT3G24120
AT3G24520
AT3G25990
AT3G26620
AT3G26790
AT3G27010
AT3G27785
AT3G28910
AT3G28920
AT3G30210
AT3G42860
AT3G45610
AT3G46590
AT3G47500
AT3G49530
AT3G49940
AT3G50060
AT3G50260
AT3G50410
AT3G52440
AT3G53200
AT3G55370
AT3G56400
AT3G56850
AT3G57920
AT3G60490
AT3G60530
AT3G60580
AT3G61150
AT3G62420
AT4G00250
AT4G00730
AT4G01120
AT4G01250
AT4G01280
AT4G01500
AT4G01540
AT4G01550
AT4G01680
AT4G04890
AT4G05100
AT4G06746
AT4G10350
AT4G11660
AT4G14770
AT4G15090
AT4G16141
AT4G16150
AT4G16750
AT4G17980
AT4G18170
AT4G18450
AT4G18770
AT4G18880 
AT4G18890
AT4G21030
AT4G21040
AT4G21080
AT4G22070
AT4G23550
AT4G23750
AT4G24020
AT4G24240
AT4G25470
AT4G25480
AT4G25490
AT4G26030
AT4G26640
AT4G27410
AT4G27950
AT4G28500
AT4G29230
AT4G31060
AT4G31800
AT4G32730
AT4G32800
AT4G34000
AT4G34410
AT4G34590
AT4G36160
AT4G36540
AT4G36620
AT4G36740
AT4G36780
AT4G37180
AT4G37260
AT4G37790
AT4G38000
AT4G38170
AT4G39780
AT5G01380
AT5G02320
AT5G02460
AT5G02840
AT5G03150
AT5G03790
AT5G04340
AT5G04390
AT5G04410
AT5G04760
AT5G05410
AT5G05550
AT5G05790
AT5G06100
AT5G06839 
AT5G06950
AT5G06960
AT5G07310
AT5G07680
AT5G08130
AT5G08330
AT5G08520
AT5G08750
AT5G09410
AT5G10030
AT5G10510
AT5G10970
AT5G11260
AT5G11510
AT5G13080
AT5G13180
AT5G13790
AT5G13910
AT5G14960
AT5G15830
AT5G16820
AT5G17300
AT5G17800
AT5G18270
AT5G18450
AT5G18560
AT5G19790
AT5G22990
AT5G23280
AT5G23930
AT5G24110
AT5G25190
AT5G25810
AT5G26170
AT5G29000
AT5G39610
AT5G39760
AT5G39820
AT5G41570
AT5G43840
AT5G45300
AT5G45580
AT5G46350
AT5G46590
AT5G46830
AT5G47220
AT5G47230
AT5G47370
AT5G47390
AT5G47640
AT5G47660
AT5G49450
AT5G50670
AT5G51190
AT5G51990
AT5G52020
AT5G52660
AT5G52830
AT5G53950
AT5G54230
AT5G56110
AT5G56840
AT5G57660
AT5G58850
AT5G58900
AT5G59430
AT5G60130
AT5G60850
AT5G61620
AT5G61850
AT5G62000 
AT5G62020
AT5G62320 
AT5G62380
AT5G62430
AT5G62470 
AT5G62940
AT5G63090
AT5G63260
AT5G63790
AT5G64060
AT5G64750
AT5G65130
AT5G65210
AT5G65310
AT5G65410
AT5G65510
AT5G66300
AT5G66700
AT5G66730 
AT5G66940
AT5G67190
AT5G67300
AT5G67420
AT5G67580
AT3G07610
AT4G16310
AT3G10390
AT1G24260
AT5G18960
AT4G14720
AT1G49950
AT3G58190
AT2G33860
AT5G42520
AT4G35900
AT1G67370
AT1G69120
AT4G36920
AT2G16910
AT5G10140
AT5G60690
AT3G22170
AT3G59060
AT2G43010
AT5G61380
AT5G24470
AT5G20240
AT3G54340
AT1G09530
AT2G20180
AT2G45660
AT4G18960
AT1G77080
AT5G16560
AT3G20740
AT5G02810
AT4G30410
AT1G30330
AT5G17430
AT5G53210
AT5G59800
AT2G01570
AT1G14580
AT3G10490
AT4G20400
AT3G09370
AT4G31920
AT1G77300
AT3G48430
AT3G60390
AT5G59380
AT4G13460
AT2G46790
AT2G46020
AT5G02030
AT4G17750
AT3G20010
AT5G60910
AT1G51190
AT3G11100
AT5G67450
AT3G54610
AT4G31270
AT5G14170
AT4G28610
AT5G67060
AT3G16857
AT2G25180
AT2G01760
AT5G56860
AT4G26150
AT3G46640
AT1G21970
AT2G23380
AT4G22140
AT1G62360
AT2G28290
AT1G25580
AT5G03740
AT5G04940
AT1G73100
AT3G12280
AT4G02020
AT1G32640
AT5G46760
AT3G15030
AT1G62830
AT4G14605
AT4G35610
AT2G17950
AT2G47520
AT3G44290
AT3G01460
AT4G15180
AT5G61270
AT3G57230
AT2G22840
AT2G36400
AT1G65330
AT2G16390
AT3G19860
AT4G29000
AT4G37750
AT3G26744
AT2G30470
AT4G32010
AT4G36730
AT1G03970
AT2G41070
AT4G21430
AT4G32980
AT1G05490
